,ALIMENTOS,ESTADO,COMPOSICION,,,,,,VITAMINAS,,,,,SUSTANCIAS MINERALES,,,,,,,,, AMINOACIDOS ,,,,,,,,ACID,ALCAL
,,,,,,,,,u.i x,,,,,,,,,,,,,,,,,,,,,,,
,TUBERCULOS,,,,,,,,100,mcg. por 100,,,,mg. por 100 gramos,,,,,,,,,mg. por 100 gramos,,,,,,,,,
Nº,HORTALIZAS,,CAL,PR,GR,HC,H20,NE.,A,B1,B2,C,Niac,Na,K,Ca,Mg,Fe,Cu,P,S,Cl,Fen,Ileu,Leu,Lis,Met,Tre,Tri,Val,,
66,acederas,crudas,18,2.50,0.40,2.20,92.20,3.40,14000.00,68.00,,60000.00,,,,,,1.40,,,,,,,,,,,,,,
67,acederas,cocidas ,5,0.90,0.10,1.10,96.30,2.10,,,,,,,,,,,,,,,,,,,,,,,,
68,acelgas ,crudas,18,1.90,0.30,2.40,92.70,2.60,2000.00,78.00,277.00,38000.00,,,,,,,,,,,,,,,,,,,,
69,acelgas ,cocidas ,5,0.36,,0.90,97.20,1.50,,41.00,,,,,,,,,,,,,,,,,,,,,,
70,achicoria,cruda,16,1.20,0.20,2.90,95.10,1.80,7000.00,75.00,180.00,12000.00,510.00,18.00,297.00,52.00,12.60,0.80,0.14,32.00,21.00,46.00,,,,97.00,38.00,,25,,,46
71,achicoria,tostada ,280,28.10,2.00,42.00,15.00,12.00,,,,,,64.00,746.00,114.30,96.20,58.10,15.00,181.60,133.10,176.30,,,,,,,,,,
72,ajo,bulbo,115,6.60,0.10,26.10,66.20,,,,,12800.00,,,,10.00,,2.00,,140.00,,,,,,,,,,,,
73,alcachofa,cruda,67,3.00,0.80,18.80,77.20,0.12,212.00,116.00,80.00,7500.00,,87.00,572.00,66.30,47.20,1.80,0.60,81.00,28.00,105.00,,,,,,,,,,
74,alcachofa,cocidas ,16,1.10,0.20,3.50,93.70,0.70,,,,,,14.80,327.00,43.50,27.20,0.49,0.09,39.70,15.50,83.50,,,,,,,,,,76
75,apio,crudos,19,1.20,0.20,4.50,73.20,0.90,23.00,35.00,42.00,7500.00,390.00,120.00,285.00,52.20,18.00,0.51,0.11,39.00,19.00,154.00,,,22.00,20.00,16.00,,12.00,,,81
76,apio,cocidos,9.5,1.00,0.15,2.10,96.10,,,20.00,20.00,8000.00,200.00,66.50,132.00,43.00,8.60,0.35,1.00,22.00,8.30,100.00,,,,,,,,,,50
77,batata,cruda,127,2.10,0.60,29.50,66.50,1.20,6000.00,98.00,88.00,17000.00,600.00,41.00,385.00,38.00,22.10,0.75,0.30,55.00,22.00,95.00,97.00,89.00,95.00,83.00,35.00,82.00,80.00,129.00,,79
78,batata,cocidas ,98,1.70,0.50,26.00,77.00,0.90,5800.00,80.00,55.00,14000.00,550.00,17.80,296.00,27.00,12.30,0.65,0.15,47.10,14.90,60.00,,,,,,,,,,50
79,berenjena,cruda,19,1.20,0.20,4.90,92.80,0.80,50.00,62.00,50.00,5100.00,600.00,8.00,218.00,13.20,12.00,0.42,0.08,25.10,12.00,61.00,47.00,55.00,69.00,31.00,6.00,39.00,12,62,,45
80,berenjena,cocidas ,10,1.10,,2.60,95.60,0.80,,,,,,1.60,173.20,8.30,6.40,0.18,0.05,6.30,4.72,36.00,,,,,,,,,,28
81,berros,crudos,25,2.10,0.30,47.70,91.80,1.10,3600.00,112.00,195.00,63000.00,860.00,60.00,314.00,192.00,24.00,2.90,0.13,49.00,145.00,118.00,,,,,,,,,,75
82,brocoli,crudos,29,3.20,0.20,4.90,86.70,1.00,4200.00,97.00,190.00,116000.00,1100.00,17.00,290.00,138.00,67.00,1.40,0.10,68.00,97.00,51.20,107.00,123.00,158.00,142.00,53.00,119.00,36.00,169.00,,43
83,brocoli,cocidos,17,1.30,0.13,4.20,93.00,,2870.00,65.00,130.00,60000.00,700.00,,,90.00,,1.10,,34.00,,,,,,,,,,,,
84,calabaza,cruda,28,0.70,0.10,6.30,91.80,0.40,500.00,50.00,60.00,9000.00,380.00,2.80,309.00,39.00,9.50,0.62,0.08,28.00,9.90,38.70,15.00,21.00,29.00,32.00,7.00,19.00,51.00,25.00,,67.00
85,calabaza,cocidas ,21,1.08,0.22,4.80,93.10,0.12,80.00,56.00,75.00,30500.00,320.00,1.10,283.00,16.20,4.30,0.31,0.05,18.70,4.70,23.70,27.00,38.00,54.00,46.00,9.00,21.00,12.00,35.00,,51.00
86,calabacin,crudo ,23,4.20,0.10,7.30,88.10,1.20,16.00,45.00,80.00,9000.00,,1.70,291.00,19.00,9.60,0.42,0.07,20.10,8.90,43.20,,,,,,,,,,90
87,calabacin,cocidos,6,0.90,,1.60,97.10,0.50,,9.00,,,,0.90,86.00,21.40,3.90,0.17,0.03,18.60,3.90,35.70,,,,,,,,,,72
88,cardo,crudo,24,2.30,0.30,5.30,90.00,2.10,6100.00,60.00,125.00,24000.00,400.00,81.00,549.00,89.00,58.00,2.60,0.15,75.00,125.00,153.00,,,,,,,,,,
89,cardo,cocidos,17,1.40,0.20,3.60,92.40,1.70,4600.00,32.00,89.00,14000.00,800.00,25.70,286.00,73.00,42.30,1.80,0.06,57.00,63.30,96.40,,,,,,,,,,
90,cardillo,crudo,15,1.05,,5.20,91.90,1.80,820.00,45.00,95.00,8000.00,,29.70,315.00,40.10,53.20,1.50,0.04,112.90,56.30,82.50,,,,,,,,,,
91,cardillo,cocidos,10,0.70,,2.40,95.20,1.50,,,,,,15.60,182.00,23.60,23.10,0.63,0.03,79.80,41.80,61.60,,,,,,,,,,
92,cebolla,crudo,38,1.30,0.20,8.80,89.10,0.50,50.00,35.00,32.00,7500.00,200.00,8.20,137.00,31.20,9.30,0.40,0.11,42.00,60.00,21.00,39.00,21.00,35.00,68.00,13.00,22.00,19.00,33.00,,10.00
93,cebolla,cocidas ,20.2,0.40,0.20,4.30,93.90,0.50,34.00,15.00,21.00,4500.00,158.00,6.60,78.00,24.40,4.90,0.25,0.07,19.00,23.70,4.90,,,,,,,,,,2
94,Cebolla,frita,335,1.80,33.30,13.20,51,0.5,,,,,,20.00,267.00,61.00,14.80,0.59,0.16,59.00,87.80,38.00,,,,,,,,,,16
95,col,cruda,28,1.70,0.20,6.10,90.6,0.9,100.00,90.00,80.00,51000.00,280.00,29.20,260.00,61.00,14.80,0.90,0.08,36.00,69.00,39.60,29.00,41.00,55.00,270.00,12.00,37.00,11.00,42.00,,37.00
96,col,cocidas ,15,1.30,0.10,2.60,94.9,0.9,,73,,31000.00,,13.50,144.00,58.20,7.30,0.47,0.04,16.20,23.40,13.70,,,,,,,,,,49
97,col,acida,23,1.40,0.30,4.10,91.6,2.3,38.00,26.00,60.00,17000.00,100.00,630.00,140.00,36.00,,0.50,,,,,,,,,,,,,,
98,col debruselas,cruda,42,3.80,0.50,8.20,85.6,1.5,330.00,88.00,120.00,70000.00,600.00,11.80,380.00,37.00,25.30,1.20,0.11,67.00,135.00,36.50,151.00,193.00,202.00,203.00,43.00,148.00,45.00,201.00,,40
99,col debruselas,cocidas ,20,3.10,0.40,5.10,91.5,1.3,280.00,33.00,108.00,41000.00,500.00,7.70,247.00,26.00,10.60,0.80,0.08,49.00,77.80,11.40,,,,,,,,,,8
100,col rizada,cruda,33,3.20,0.40,5.20,90,1.9,160.00,220.00,45.00,45000.00,200.00,,,50.00,,,,,,,,,,,,,,,,
101,coliflor,cruda,28,2.30,0.20,5.04,91.1,1.3,70.00,135.00,115.00,60000.00,600.00,21.00,318.00,23.00,10.10,0.68,0.06,62.00,55.00,11.60,73.00,98.00,152.00,129.00,48.00,97.00,33.00,151.00,,41
102,coliflor,cocida crudo,20,1.90,0.70,3,93.8,1.1,61.00,45,67.00,22000.00,390.00,10.30,140.00,16.10,5.70,0.53,0.05,36.00,26.00,10.80,,,,,,,,,,14
103,colinabo,crudo,33,2.20,0.10,6.8,89.9,0.8,300.00,70,60.00,45000.00,200.00,50.00,371.00,52.00,37.00,0.80,,52.00,50.00,,,,,,,,,,,
104,champiñon,crudo,27,3.7,0.20,3.70,92,,,60,30.00,1900.00,4.00,,,25.00,,,,,,,,,,,,,,,,
105,chirivia,crudo,5.8,1.50,0.50,13.50,83.5,1,,110,108.00,18000.00,200.00,9.00,425.00,56.00,25.00,0.60,0.10,80.00,18.00,40.50,,,,,,,,,,75
106,chirivia,cocidos,34,1.10,0.40,8.50,90,0.8,,45,80.00,12000.00,100.00,4.10,293.00,42.00,13.00,0.50,0.10,62.00,14.60,32.70,,,,,,,,,,67
107,escarola,crudo,20,1.60,0.20,4.00,94.1,0.6,7000.00,68.00,180.00,13000.00,400.00,30.00,390.00,58.00,12.00,2.20,0.09,56.00,28.00,70.50,,,,,,,,,,68
108,esparragos,crdudos,25,2.30,0.20,4.10,92.2,0.5,700.00,150.00,160.00,29000.00,900.00,3.50,252.00,27.00,19.00,1.10,0.25,71.00,62.00,45.00,71.00,79.00,92.00,98.00,31.00,71.00,28.00,99.00,,8
109,esparragos,cocidos,20,2.10,0.20,3.80,93.6,0.3,600.00,110.00,130.00,18000.00,800.00,200.00,190.00,21.00,10.40,1.00,0.18,56.00,46.60,31.40,52.00,63.00,78.00,79.00,26.00,49.00,19.00,82.00,,10
110,espinacas,crudas,26,2.50,0.30,4.10,91.2,1.4,13000.00,140.00,290.00,39000.00,800.00,66.00,527.00,85.00,55.00,4.50,0.20,47.00,27.00,65.00,101.00,103.00,181.00,139.00,41.00,99.00,36.00,131.00,,270
111,espinacas,cocidas ,20,2.20,0.20,5.20,91,1.1,7000.00,40.00,130.00,16000.00,450.00,211.00,365.00,98.00,59.20,3.00,0.26,39.00,86.50,55.50,,,,,,,,,,386
112,judias verdes,crudas,35,2.30,0.20,6.20,90.2,0.85,850.00,240.00,160.00,18000.00,500.00,9.70,270.00,65.00,32.00,1.70,0.80,40.00,21.00,28.00,58.00,112.00,141.00,124.00,37.00,89.00,35.00,109.00,,63
113,judias verdes,cocidas ,15,1.00,0.10,3.20,95,0.75,400.00,48.00,50.00,6000.00,325.00,3.40,110.00,38.60,10.10,1.20,0.10,17.00,8.30,10.70,25.00,47.00,61.00,49.00,13.00,39.00,12.00,50.00,,37
114,lechuga,crudas,17,1.20,0.20,2.90,94.8,0.8,1200.00,65.00,82.00,10000.00,200.00,10.00,180.00,29.00,10.50,0.90,0.11,27.00,15.00,45.00,,,,,,,,,,38
115,lombarda,crudas,35,2.60,0.15,5.20,90.5,0.9,20.00,130.00,,46000.00,,28.00,210.00,42.00,19.00,5.00,0.09,23.00,68.00,80.00,,,,,,,,,,59
116,lombarda,cocida,10,1.10,,2.80,95.3,0.7,,,,,,18.30,146.00,29.30,10.70,0.21,0.04,21.00,36.00,38.00,,,,,,,,,,34
117,mostaza,cruda,20,2.10,0.30,3.80,92.3,1.3,6800.00,75.00,190.00,70000.00,750.00,37.00,420.00,180.00,27.00,3.10,0.12,45.00,170.00,89.00,,,,,,,,,23,
118,nabos,crudos,30,1.80,0.30,5.80,90.7,0.7,9000.00,80.00,380.00,60000.00,500.00,58.00,330.00,60.00,8.50,0.90,0.08,36.00,29.00,52.00,151.00,102.00,198,132.00,51.00,123.00,47.00,152.00,,62
119,nabos,cocidos,21,1.30,0.20,4.70,93.8,0.5,7500.00,40.00,130.00,28000.00,400.00,32.00,160.00,55.00,6.60,0.80,0.04,27.00,21.20,31.40,,,,,,,,,,52
120,patata,cruda,85,2.10,0.20,19.00,77.8,1,30.00,100.00,45.00,16000.00,1200.00,6.50,430.00,10.10,26.00,0.75,0.16,52.00,30.00,56.00,91.00,91.00,99.00,112.00,23.00,81.00,19.00,110.00,,86
121,patata,cocida,65,1.70,0.30,15.40,82,0.6,10.00,45.00,25.00,9000.00,700.00,225.00,280.00,6.10,15.00,0.48,0.11,32.00,22.20,40.70,75.00,77.00,89.00,89.00,18.00,68.00,21.00,89.00,,53
122,patata,asada,110,2.60,0.70,29.40,65.2,1.3,20.00,110.00,50.00,16000.00,1200.00,8.60,745.00,12.00,32.00,0.90,0.20,29.00,56.30,103.00,,,,,,,,,,128
123,patata,frita,230,3.30,10.60,30.10,55,1.5,30.00,105.00,67.00,16000.00,1800.00,11.70,1020.00,16.00,43.30,1.20,0.27,82.00,44.70,140.00,,,,,,,,,,196
124,patata,pure,121,1.80,5.50,16.30,75.6,0.7,150.00,80.00,50.00,7000.00,800.00,24.00,302.00,21.00,14.40,0.50,0.10,42.00,23.50,71.00,,,,,,,,,,51
125,patata,almidon,350,1.80,0.90,81.80,14.1,1.3,220.00,273.00,,,,6.10,426.00,6.50,20.30,0.74,0.13,31.20,28.30,71.20,,,,,,,,,,
126,pepino,crudo,10,0.70,0.15,2.70,96.3,0.4,125.00,40.00,40.00,8500.00,200.00,8.00,140.00,18.00,9.00,0.30,0.09,22.00,11.50,27.00,,,,,,,,,,51
127,perejil,crudo,50,3.9,0.90,8.80,93.9,2.4,8500.00,115.00,280.00,191000.00,1200.00,30.00,920.00,240.00,52.20,5.30,0.26,92.00,,156.00,,,,,,,,,,
128,pimienta,crudo,28,1.20,0.20,5.90,92.4,0.5,700.00,47.00,65.00,118000.00,300.00,36.00,175.00,7.00,12.00,0.40,0.10,27.00,19.00,,,,,,,,,,,
129,pimiento,crudo,27,1.30,0.60,7.20,90.1,0.7,820.00,48.00,40.00,121000.00,400.00,0.50,186.00,11.00,12.00,0.40,0.10,26.00,19.00,19.00,,,,,,,,,,17
130,pimiento,cocidos,18,0.90,0.25,4.50,94.1,0.6,2000.00,18.00,75.00,111000.00,500.00,,,8.00,,0.80,,16.00,,,,,,,,,,,,
131,puerros,crudo,37,2.80,0.35,7.70,88.6,1.3,900.00,120.00,40.00,22000.00,500.00,8.90,315.00,62.00,46.10,2.80,0.12,45.20,72.20,69.50,,,,,,,,,,72
132,puerros,cocidos,25,2.30,,4.90,91.5,1.1,,85,,,,6.40,278.00,60.50,12.50,2.00,0.09,27.50,48.90,42.60,,,,,,,,,,55
133,rabanos,crudo,18,1.20,0.10,3.6,93.7,1.5,30.00,55,32.00,26000.00,280.00,38.00,240.00,43.00,13.00,0.13,0.13,27.00,36.00,25.00,,,,,,,,,,51
134,remolacha,cruda,43,1.80,0.10,10.60,85.7,1.1,55.00,65.00,70.00,10000.00,380.00,73.00,392.00,37.00,27.00,1.10,0.18,41.30,27.40,75.00,31.00,49.00,57.00,82.00,7.00,33.00,17.00,48.00,,110
135,remolacha,cocida,35,1.90,0.10,8.90,87.9,0.9,18.00,22.00,36.00,6500.00,250.00,64.00,350.00,27.00,16.90,0.70,0.14,29.00,22.10,75.50,,,,,,,,,,89
136,repollo,crudo,25,1.60,0.20,5.20,92.1,0.8,1780.00,75.00,90.00,51000.00,,18.00,228.00,49.00,27.00,3.20,,43.00,64.00,14.20,,,,,,,,,,82
137,salsifi,cocidos,18,1.90,,2.18,94.3,,,,,,,8.40,183.00,60,14.20,1.23,0.12,53.00,25.00,46.00,,,,,,,,,,29
138,seta,cruda,17,1.90,0.30,3.80,92.8,,,35.00,250.00,6000.00,3000.00,5.00,520.00,7.20,,0.90,,95.00,,,,528,291,,172,,6,372,,
139,seta,frita,217,2.20,24.30,5.80,67.2,,,60.00,,,,11.00,568.00,3.5,16.00,1.25,0.66,166.00,73.80,103.00,,,,,,,,,16,
140,tomate,cruda,21,1.30,0.25,4.00,93.6,0.60,1300.00,70.00,40.00,27000.00,450.00,3.00,258.00,11.50,13.00,0.50,0.90,24.00,12.20,48.00,30.00,31.00,39.00,40.00,7.00,35.00,10.00,27.00,,55.00
141,tomate,cocida,19,1.00,0.10,3.80,94.5,0.40,1000.00,60.00,30.00,16000.00,700.00,20.00,220.00,11.00,12.00,0.60,0.09,22.00,14.00,63.00,,,,,,,,,,
142,tomate,frito,73,2.30,6.20,4.20,86.5,0.31,,,,,,3.30,277.00,36,12.40,0.56,0.10,23.00,7.90,,,,,,,,,,,
143,tomate,jugo,18,0.80,1.20,3.50,93.6,1.00,1050.00,50.00,30.00,16000.00,800.00,126.00,270.00,7.00,10.00,0.40,,15.00,5.00,39.00,,,,,,,,,,
144,trufa,fresca,63,7.60,0.50,6.60,82.1,,,,,,,77.00,400.00,24,18.00,,,62.00,,,,,,,,,,,,
145,trufa,seca,260,36.90,2.00,28.90,6.4,,,,,,,,,,,,,,,,,,,,,,,,,
146,verduras (medio),crudas,23,1.30,0.20,38.00,,,2500.00,100.00,100.00,35000.00,600.00,,,49.00,,,,,,,,,,,,,,,,
147,zanahoria,cruda,40,1.10,0.30,8.80,88.80,0.70,11000.00,75.00,70.00,6000.00,500.00,76.00,281.00,44.00,15.00,0.80,0.90,34.00,17.00,54.00,39.00,43.00,67.00,49.00,9.00,38.00,9.00,58.00,,98.00
148,zanahoria,cocida,27,0.80,0.40,6.1,91.6,0.25,9000.00,32.00,28,2000,470.00,80.00,107.00,32.00,7.60,0.60,0.08,24.00,8.00,29.20,,,,,,,,,,53
